,HAR-n,HAR-ged,HAR-ss,HAR-st,HAR-E-n,HAR-E-ged,HAR-E-ss,HAR-E-st,M1-n,M2-n,M2a-n,M3-n,M4-n,M8-n,M9-n,M1-E-n,M2-E-n,M2a-En,M3-E-n,M4-E-n,M8-E-n,M9-E-n,M1-st,M2-st,M2a-st,M3-st,M4-st,M8-st,M9-st,M1-E-st,M2-E-st,M3-E-st,M8-E-st,M1-ged,M2-ged,M2a-ged,M4-ged,M5-ged,M6-ged,M7-ged,M8-ged,M1-E-ged,M2-E-ged,M2a-E-ged,M4-E-ged,M5-E-ged,M6-E-ged,M7-E-ged,M8-E-ged
HAR-n,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAR-ged,1.36,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAR-ss,2.115,2.35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAR-st,1.576,1.784,-2.579,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAR-E-n,-0.461,-1.344,-2.078,-1.539,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAR-E-ged,1.041,-1.35,-2.182,-1.606,1.273,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAR-E-ss,-0.924,-1.356,-2.039,-1.523,-1.241,-1.337,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAR-E-st,0.64,-1.336,-2.132,-1.567,1.183,-1.292,1.341,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1-n,-1.732,-1.494,-2.14,-1.647,-0.322,-1.309,0.448,-1.039,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2-n,0.376,-1.548,-2.213,-1.712,0.507,-1.038,0.811,-0.412,1.025,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2a-n,0.949,-1.237,-2.131,-1.552,0.802,-0.551,1.021,-0.032,1.521,1.163,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3-n,-1.294,-1.402,-1.916,-1.528,-1.245,-1.323,-1.187,-1.289,-1.229,-1.249,-1.316,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M4-n,-1.539,-1.651,-2.151,-1.775,-1.426,-1.542,-1.317,-1.488,-1.454,-1.483,-1.579,0.485,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M8-n,-2.669,-2.016,-2.296,-1.978,-2.161,-2.127,-1.678,-2.117,-2.587,-2.128,-2.377,0.893,0.98,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M9-n,0.513,-1.253,-2.087,-1.52,0.542,-0.832,0.972,-0.437,2.225,-0.147,-0.684,1.331,1.601,3.035,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1-E-n,0.08,-1.243,-2.061,-1.487,1.796,-1.044,1.518,-0.786,0.698,-0.162,-0.477,1.286,1.477,2.216,-0.079,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2-E-n,0.403,-1.005,-1.977,-1.341,1.391,-0.604,1.872,-0.22,0.813,0.135,-0.129,1.343,1.523,2.177,0.247,0.877,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2a-En,0.698,-0.775,-1.875,-1.182,1.439,-0.258,2.066,0.135,1.054,0.386,0.15,1.423,1.62,2.31,0.541,1.03,0.801,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3-E-n,-1.9,-1.816,-2.191,-1.857,-1.809,-1.824,-1.713,-1.813,-1.771,-1.72,-1.853,0.775,0.677,-1.035,-1.986,-1.879,-1.976,-2.127,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M4-E-n,-2.199,-1.958,-2.276,-1.957,-1.944,-1.997,-1.652,-1.968,-2.007,-1.933,-2.123,0.888,1.048,-0.615,-2.351,-2.038,-2.073,-2.227,1.128,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M8-E-n,-2.375,-1.846,-2.207,-1.837,-2.649,-2.077,-2.624,-2.221,-2.116,-1.827,-2.032,0.953,1.021,0.644,-2.524,-2.627,-2.672,-2.796,1.21,0.872,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M9-E-n,-0.558,-1.349,-2.075,-1.539,-0.635,-1.288,1.19,-1.219,0.185,-0.564,-0.848,1.238,1.412,2.115,-0.619,-1.705,-1.572,-1.597,1.799,1.913,2.661,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1-st,1.517,1.654,-2.588,-1.572,1.479,1.526,1.471,1.496,1.599,1.651,1.488,1.501,1.748,1.949,1.461,1.421,1.269,1.111,1.826,1.924,1.8,1.48,1,,,,,,,,,,,,,,,,,,,,,,,,,,
M2-st,1.608,1.746,-2.735,1.431,1.584,1.644,1.566,1.612,1.658,1.731,1.607,1.55,1.774,1.922,1.561,1.549,1.433,1.301,1.838,1.918,1.816,1.585,1.524,1,,,,,,,,,,,,,,,,,,,,,,,,,
M2a-st,1.643,1.804,-2.797,1.671,1.623,1.693,1.605,1.658,1.689,1.757,1.636,1.579,1.8,1.942,1.598,1.59,1.479,1.347,1.862,1.938,1.842,1.623,1.727,1.47,1,,,,,,,,,,,,,,,,,,,,,,,,
M3-st,-0.319,-1.407,-2.366,-1.85,-0.181,-0.77,0.059,-0.518,-0.111,-0.406,-0.528,1.263,1.587,0.914,-0.367,-0.302,-0.389,-0.48,1.505,1.335,0.648,-0.148,-1.789,-1.833,-1.887,1,,,,,,,,,,,,,,,,,,,,,,,
M4-st,0.341,-1.019,-2.619,-2.109,0.388,-0.074,0.533,0.14,0.505,0.298,0.161,1.251,1.534,1.249,0.299,0.287,0.173,0.062,1.45,1.449,1.016,0.409,-2.027,-2.032,-2.096,1.13,1,,,,,,,,,,,,,,,,,,,,,,
M8-st,0.986,0.197,-2.768,-2.677,0.978,0.798,1.038,0.88,1.108,1.046,0.883,1.328,1.55,1.643,0.938,0.898,0.754,0.609,1.587,1.636,1.452,0.989,-2.668,-2.148,-2.243,1.366,1.295,1,,,,,,,,,,,,,,,,,,,,,
M9-st,1.608,1.857,-2.551,2.423,1.571,1.652,1.553,1.607,1.677,1.746,1.587,1.542,1.791,1.998,1.551,1.522,1.376,1.216,1.876,1.978,1.861,1.571,1.936,-1.306,-1.581,1.88,2.149,2.71,1,,,,,,,,,,,,,,,,,,,,
M1-E-st,-0.406,-1.599,-2.171,-1.695,-0.096,-1.771,0.63,-1.673,0.188,-0.568,-0.805,1.182,1.351,1.88,-0.478,-0.513,-0.67,-0.817,1.62,1.695,1.925,0.029,-1.648,-1.698,-1.737,0.164,-0.446,-1.119,-1.729,1,,,,,,,,,,,,,,,,,,,
M2-E-st,20.062,20.062,20.062,20.062,20.062,20.062,20.062,20.062,20.062,20.062,20.062,20.062,20.062,20.062,20.062,20.062,20.062,20.062,20.062,20.062,20.062,20.062,20.062,20.062,20.062,20.062,20.062,20.062,20.062,20.062,1,,,,,,,,,,,,,,,,,,
M3-E-st,3.982,3.865,3.481,3.759,3.993,3.934,4.025,3.958,3.995,3.962,3.96,4.351,4.206,4.067,3.982,3.984,3.982,3.982,4.169,4.095,4.061,3.998,3.771,3.702,3.685,4.004,3.913,3.839,3.754,3.984,-20.062,1,,,,,,,,,,,,,,,,,
M8-E-st,-1.888,-2.016,-2.284,-1.935,-1.941,-2.492,-0.909,-2.716,-1.375,-1.644,-1.772,1.022,1.136,1.275,-1.903,-2.155,-1.982,-1.864,1.328,1.224,1.103,-1.826,-1.895,-1.889,-1.918,-0.391,-0.915,-1.492,-1.963,-2.183,-20.062,-4.024,1,,,,,,,,,,,,,,,,
M1-ged,1.252,-1.817,-2.354,-1.852,1.236,1.116,1.269,1.172,1.418,1.433,1.1,1.368,1.614,1.992,1.143,1.116,0.868,0.641,1.777,1.92,1.802,1.244,-1.761,-1.782,-1.832,1.272,0.78,-0.498,-1.913,1.519,-20.062,-3.879,1.966,1,,,,,,,,,,,,,,,
M2-ged,1.459,1.456,-2.531,-1.176,1.439,1.462,1.432,1.445,1.533,1.618,1.446,1.453,1.683,1.878,1.394,1.385,1.232,1.073,1.774,1.87,1.754,1.441,-0.622,-1.951,-1.945,1.614,1.669,1.388,-1.404,1.578,-20.062,-3.783,1.833,1.559,1,,,,,,,,,,,,,,
M2a-ged,1.422,1.411,-2.578,-1.381,1.411,1.433,1.41,1.419,1.497,1.567,1.39,1.443,1.669,1.852,1.358,1.356,1.206,1.042,1.759,1.848,1.733,1.414,-0.756,-2.035,-2.089,1.602,1.65,1.403,-1.636,1.554,-20.062,-3.786,1.815,1.512,-0.249,1,,,,,,,,,,,,,
M4-ged,-0.929,-1.848,-2.393,-2.029,-0.659,-1.349,-0.314,-1.064,-0.653,-1.035,-1.19,1.112,1.449,0.698,-1.006,-0.806,-0.864,-0.956,1.358,1.296,0.392,-0.611,-1.984,-1.969,-1.998,-0.974,-1.514,-1.603,-2.054,-0.645,-20.062,-4.014,0.005,-1.758,-1.865,-1.838,1,,,,,,,,,,,,
M5-ged,1.356,-1.037,-2.326,-1.745,1.348,1.367,1.362,1.347,1.497,1.544,1.217,1.401,1.65,2.036,1.242,1.241,0.992,0.753,1.826,1.974,1.868,1.353,-1.623,-1.724,-1.783,1.379,0.937,-0.278,-1.815,1.625,-20.062,-3.871,2.058,1.572,-1.44,-1.4,1.839,1,,,,,,,,,,,
M6-ged,1.28,0.39,-2.447,-2.021,1.256,1.178,1.279,1.207,1.41,1.44,1.176,1.387,1.632,1.93,1.196,1.162,0.953,0.749,1.761,1.884,1.746,1.263,-1.894,-1.867,-1.917,1.42,1.144,-0.124,-2.089,1.465,-20.062,-3.855,1.868,1.187,-1.585,-1.536,1.812,0.583,1,,,,,,,,,,
M7-ged,1.392,0.691,-2.336,-1.74,1.377,1.41,1.381,1.38,1.522,1.589,1.271,1.408,1.657,2.034,1.283,1.277,1.035,0.799,1.827,1.974,1.868,1.38,-1.603,-1.723,-1.782,1.414,1.026,-0.158,-1.813,1.632,-20.062,-3.864,2.043,1.897,-1.421,-1.374,1.86,1.278,-0.236,1,,,,,,,,,
M8-ged,0.365,-2.678,-2.564,-2.405,0.446,-0.367,0.635,0.069,0.605,0.307,0.085,1.19,1.394,1.54,0.297,0.297,0.131,-0.02,1.474,1.517,1.276,0.476,-2.379,-2.149,-2.18,0.698,-0.176,-1.77,-2.438,0.578,-20.062,-3.923,1.282,-2.472,-2.092,-2.077,1.197,-2.649,-2.617,-2.641,1,,,,,,,,
