,vix,return,neg_ret,neg_ret_5,neg_ret_22,bsesn_dr,bsesn_idr,MOVE,MOVE_l1,vvix,vvix_l1,skew,skew_l1,Skew_diff
vix,1.0,-0.1759349030230471,-0.42162526430819003,-0.6982169937690579,-0.8206359564781885,-0.12411411950203363,-0.07355140505991625,0.6235489234158565,0.605299395878586,0.6128940636667753,0.5794922952737567,-0.24187419011709985,-0.22964003040722358,-0.021037895437284054
return,-0.1759349030230471,1.0,0.828230631531938,0.2557104781300707,0.07255792152926496,0.31086545791976766,0.2637490961814418,0.0027568873779878116,0.040766040299684635,-0.23679012159020932,0.04083120284867289,0.028694392597168213,-0.05256615207927432,0.13981846025430605
neg_ret,-0.42162526430819003,0.828230631531938,1.0,0.5302141212925047,0.3229702524701139,0.2917421997499902,0.231704499876002,-0.14736319365013173,-0.10101880624173037,-0.40966968242423524,-0.16469558935177092,0.07202806146669831,0.000754250585724119,0.12253010167277444
neg_ret_5,-0.6982169937690579,0.2557104781300707,0.5302141212925047,1.0,0.6310844757249173,0.21327379150469786,0.1497977386095974,-0.31883044114371545,-0.2904607719094483,-0.6267448075572057,-0.5858814008576283,0.11440103721970549,0.08704560871483308,0.0470518714630607
neg_ret_22,-0.8206359564781885,0.07255792152926496,0.3229702524701139,0.6310844757249173,1.0,0.048917464038033966,0.028528896359685477,-0.45493879571238893,-0.44935189059528663,-0.5360863656941184,-0.5480077936145665,0.19535506387223944,0.1847203405796967,0.018368161689137574
bsesn_dr,-0.12411411950203363,0.31086545791976766,0.2917421997499902,0.21327379150469786,0.048917464038033966,1.0,0.8272946706911609,-0.05700391717482444,-0.032405356045901244,-0.1683569650090011,-0.08868748101136621,0.017872392120008598,0.008450768388585547,0.016256552889301393
bsesn_idr,-0.07355140505991625,0.2637490961814418,0.231704499876002,0.1497977386095974,0.028528896359685477,0.8272946706911609,1.0,-0.06311694558839355,-0.04587903934442389,-0.10266030695279296,-0.04292573323852704,0.009470916525250497,-0.0021135219492724564,0.019973474404836458
MOVE,0.6235489234158565,0.0027568873779878116,-0.14736319365013173,-0.31883044114371545,-0.45493879571238893,-0.05700391717482444,-0.06311694558839355,1.0,0.9733676498509273,0.292545747343071,0.30045313107903004,-0.25800804462480537,-0.26029582901576365,0.0036324637922000693
MOVE_l1,0.605299395878586,0.040766040299684635,-0.10101880624173037,-0.2904607719094483,-0.44935189059528663,-0.032405356045901244,-0.04587903934442389,0.9733676498509273,1.0,0.2672384406334966,0.29095790691834084,-0.2507230609966658,-0.2577386553938387,0.01201229006945687
vvix,0.6128940636667753,-0.23679012159020932,-0.40966968242423524,-0.6267448075572057,-0.5360863656941184,-0.1683569650090011,-0.10266030695279296,0.292545747343071,0.2672384406334966,1.0,0.9205773884260783,0.047931935072185114,0.0638716440623956,-0.02747303561117795
vvix_l1,0.5794922952737567,0.04083120284867289,-0.16469558935177092,-0.5858814008576283,-0.5480077936145665,-0.08868748101136621,-0.04292573323852704,0.30045313107903004,0.29095790691834084,0.9205773884260783,1.0,0.050781858179689,0.04878957263245449,0.003431241182128789
skew,-0.24187419011709985,0.028694392597168213,0.07202806146669831,0.11440103721970549,0.19535506387223944,0.017872392120008598,0.009470916525250497,-0.25800804462480537,-0.2507230609966658,0.047931935072185114,0.050781858179689,1.0,0.8306289933734881,0.29115777828699546
skew_l1,-0.22964003040722358,-0.05256615207927432,0.000754250585724119,0.08704560871483308,0.1847203405796967,0.008450768388585547,-0.0021135219492724564,-0.26029582901576365,-0.2577386553938387,0.0638716440623956,0.04878957263245449,0.8306289933734881,1.0,-0.29085768965285486
Skew_diff,-0.021037895437284054,0.13981846025430605,0.12253010167277444,0.0470518714630607,0.018368161689137574,0.016256552889301393,0.019973474404836458,0.0036324637922000693,0.01201229006945687,-0.02747303561117795,0.003431241182128789,0.29115777828699546,-0.29085768965285486,1.0
