,HAR-n,HAR-ged,HAR-ss,HAR-st,HAR-E-n,HAR-E-ged,HAR-E-ss,HAR-E-st,M1-n,M2-n,M3-n,M4-n,M8-n,M9-n,M1-E-n,M2-E-n,M3-E-n,M4-E-n,M8-E-n,M9-E-n,M1-st,M2-st,M3-st,M4-st,M8-st,M1-E-st,M2-E-st,M3-E-st,M8-E-st,M1-ged,M2-ged,M3-ged,M4-ged,M5-ged,M6-ged,M7-ged,M8-ged,M1-E-ged,M2-E-ged,M3-E-ged,M4-E-ged,M5-E-ged,M6-E-ged,M7-E-ged,M8-E-ged
HAR-n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAR-ged,1.360152478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAR-ss,2.115592126,2.350258381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAR-st,1.575808052,1.784235778,-2.580055787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAR-E-n,-0.460520786,-1.344500932,-2.078633296,-1.538546508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAR-E-ged,1.041365895,-1.35016247,-2.182105408,-1.606158221,1.273130459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAR-E-ss,-0.923665769,-1.356023638,-2.039673727,-1.523174409,-1.240623098,-1.337274944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAR-E-st,0.640311532,-1.336167673,-2.132217466,-1.566587021,1.182802796,-1.2922553,1.340980576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1-n,-1.731721694,-1.494083197,-2.140772058,-1.647148121,-0.321638341,-1.308973669,0.447532983,-1.039141284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2-n,0.376116694,-1.548205005,-2.213108092,-1.71176558,0.506620257,-1.038527259,0.811154991,-0.411712557,1.024835869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3-n,-1.294303718,-1.402096649,-1.915814733,-1.52766246,-1.245410833,-1.32253879,-1.187359314,-1.289257523,-1.228531834,-1.248591043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M4-n,-1.538517586,-1.65082228,-2.1510082,-1.775278526,-1.425612934,-1.541567871,-1.316653514,-1.487703391,-1.453618104,-1.482693904,0.485637665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M8-n,-2.668954867,-2.016287195,-2.296737387,-1.977637328,-2.16067091,-2.126902047,-1.678290214,-2.116840247,-2.586827,-2.127888242,0.893299014,0.979899328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M9-n,0.51289607,-1.253536449,-2.087614925,-1.519622977,0.542274542,-0.832073494,0.97225961,-0.43681423,2.22458096,-0.146547404,1.330463045,1.600930252,3.035081769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1-E-n,0.079766529,-1.243456078,-2.061053105,-1.487450967,1.796137151,-1.043780604,1.51814056,-0.786343352,0.698297293,-0.161844226,1.285864397,1.476881386,2.215937524,-0.079481947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2-E-n,0.402802467,-1.005347314,-1.977647407,-1.340649177,1.390827584,-0.604203844,1.87214002,-0.220559649,0.813273814,0.134662642,1.342588688,1.522714173,2.176986861,0.247144008,0.876807555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3-E-n,-1.900224145,-1.815757892,-2.19161402,-1.857240884,-1.809332363,-1.82421798,-1.713371313,-1.813053781,-1.770654449,-1.720457582,0.774654829,0.676528834,-1.034926384,-1.985627909,-1.878563114,-1.976360656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M4-E-n,-2.199130355,-1.958506098,-2.276259025,-1.957161763,-1.944090444,-1.996792515,-1.651686652,-1.968387514,-2.006639084,-1.933257355,0.887726854,1.047535621,-0.614749342,-2.351321779,-2.038237485,-2.073379776,1.128287899,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M8-E-n,-2.374760562,-1.84564227,-2.207052534,-1.837224449,-2.649311755,-2.076656776,-2.624146219,-2.220680524,-2.116200011,-1.826893968,0.95296898,1.020867524,0.643703065,-2.524089843,-2.626581531,-2.672429598,1.209688965,0.871935621,,,,,,,,,,,,,,,,,,,,,,,,,,,
M9-E-n,-0.558313754,-1.349551494,-2.07575142,-1.5390477,-0.635334827,-1.288506827,1.190244431,-1.218823852,0.185385188,-0.564020343,1.238394693,1.411858889,2.115016217,-0.618696758,-1.704542308,-1.572251933,1.799438033,1.912846124,2.6608963,,,,,,,,,,,,,,,,,,,,,,,,,,
M1-st,1.516871762,1.653771857,-2.588377252,-1.572371928,1.478995871,1.52553969,1.471412098,1.495688016,1.599239161,1.650778997,1.501202029,1.748232487,1.949357317,1.461478995,1.42136975,1.269527073,1.825808034,1.924354731,1.800116761,1.480272953,,,,,,,,,,,,,,,,,,,,,,,,,
M2-st,1.608364522,1.746294597,-2.735497,1.430931729,1.584414517,1.644095125,1.566474343,1.612288728,1.658165672,1.731429365,1.550208322,1.773634455,1.922064273,1.560528577,1.548526061,1.432528219,1.837707675,1.917651255,1.816256942,1.584717783,1.523658136,,,,,,,,,,,,,,,,,,,,,,,,
M3-st,-0.318507177,-1.406732589,-2.366540947,-1.850180844,-0.18095089,-0.770096115,0.059086161,-0.517989816,-0.111141367,-0.405861784,1.262647411,1.586296547,0.914226508,-0.366656729,-0.301978569,-0.389228016,1.505219566,1.335071182,0.647931645,-0.147989499,-1.789163781,-1.832555978,,,,,,,,,,,,,,,,,,,,,,,
M4-st,0.340630457,-1.018930766,-2.619766099,-2.109428246,0.387550186,-0.074256506,0.533282971,0.139781718,0.505467196,0.29832891,1.251203533,1.533521505,1.248690329,0.299501458,0.28732324,0.172994171,1.450223708,1.448710579,1.015963442,0.409214501,-2.02713701,-2.03161392,1.130491385,,,,,,,,,,,,,,,,,,,,,,
M8-st,0.985562817,0.196820265,-2.768898361,-2.676891283,0.97840129,0.79795167,1.03846102,0.880448058,1.107666859,1.046207456,1.328306495,1.549542775,1.642926978,0.938161083,0.898060661,0.753963291,1.58691751,1.636044136,1.452132884,0.989312397,-2.668497409,-2.148344772,1.366235346,1.29527092,,,,,,,,,,,,,,,,,,,,,
