,AE,MSE,QL,0,1,2
0,0.0818,0.1431,0.0881,,,
1,0.0624,0.6809,0.2815,,,
2,0.6945,0.869,0.8632,,,
3,0.3887,0.1558,0.0442,,,
4,0.2724,0.1395,0.1308,,,
5,0.0636,0.087,0.2004,,,
6,0.5094,0.6223,0.4808,,,
7,,,,,,
0,0.4768,0.7388,0.7283,,,
1,0.6926,0.8597,0.7541,,,
2,0.9604,0.9336,0.9216,,,
3,0.0075,0.0945,0.0013,,,
4,0.0266,0.0893,0.0116,,,
5,0.1272,0.1055,0.1592,,,
6,0.1537,0.256,0.1625,,,
7,,,,,,
0,0.004,0.8387,0.2785,,,
1,0.0043,0.8335,0.4732,,,
2,0.0077,0.8251,0.4336,,,
3,0.0,0.1883,0.0,,,
4,0.0,0.0763,0.0,,,
5,0.0054,0.859,0.3569,,,
6,0.0059,0.8273,0.4025,,,
7,0.0049,0.8464,0.3588,,,
8,0.0048,0.7078,0.1066,,,
9,,,,,,
0,0.0124,0.8371,0.0564,,,
1,0.0124,0.8397,0.1691,,,
2,0.0135,0.8292,0.186,,,
3,0.5452,0.5451,0.4459,,,
4,0.0006,0.0853,0.0,,,
5,0.0143,0.8611,0.1248,,,
6,0.0118,0.8515,0.099,,,
7,0.0087,0.8545,0.1309,,,
8,0.0147,0.1131,0.0142,,,
9,,,,,,
0,0.0159,0.8469,0.5998,,,
1,0.0359,0.8484,0.6563,,,
2,0.05,0.8472,0.6438,,,
3,0.0,0.1929,0.0001,,,
4,0.0,0.7328,0.0135,,,
5,0.0108,0.7997,0.3811,,,
6,0.0192,0.8629,0.6266,,,
7,,,,,,
0,0.029,0.4041,0.0228,,,
1,0.6017,0.5917,0.5063,,,
2,0.5322,0.5423,0.4596,,,
3,0.0227,0.105,0.0187,,,
4,,,,,,
