,forecast,vix,close_ae,close_mse,close_ql,forecast_DR,actual_DR,DA_DR,forecast_IDR,actual_IDR,DA_IDR,close_err
2017-01-31,0.6215899248736485,11.99,11.368410075126352,129.24074763623435,2.0113900198499888,-2.950331002370282,0.009216655104924048,0,-2.9842606120137263,-0.024712954538520474,1,-11.368410075126352
2017-04-12,0.11664038611828481,15.77,15.653359613881715,245.02766720150314,3.9141654479752503,-4.861365713023725,0.04540338833654285,0,-4.867320080599546,0.03944902076072129,0,-15.653359613881715
2017-04-13,0.26641745736175376,15.96,15.693582542638246,246.28853302259992,3.109469226990357,-4.080800212800675,0.01197619104671584,0,-4.088380792374353,0.004395611473038129,0,-15.693582542638246
2017-05-01,4.426001779929763,10.11,5.683998220070237,32.30783576576162,0.2638129372158282,-0.8938996296364262,-0.06787124038595548,1,-0.9030993265348497,-0.07707093728437901,1,-5.683998220070237
2017-05-02,2.499870759864786,10.59,8.090129240135214,65.45019112209077,0.6797306869675674,-1.3972859985485977,0.046385126580935125,0,-1.401234671004014,0.04243645412551875,0,-8.090129240135214
2017-05-03,4.134836817873877,10.68,6.545163182126123,42.83916108065935,0.33608197488789315,-0.9404622955502573,0.008462673918733728,0,-0.9376254142150575,0.011299555253933247,0,-6.545163182126123
2017-05-04,4.2200807991995735,10.46,6.239919200800427,38.936591632517846,0.31115359123164765,-0.9285185589376679,-0.020814374895271878,1,-0.9313236098652766,-0.023619425822880586,1,-6.239919200800427
2017-05-05,2.88408855087703,10.57,7.685911449122971,59.07323480375956,0.5716669364288329,-1.288349535497841,0.010461341245369331,0,-1.293118261749924,0.0056926149932864985,0,-7.685911449122971
2017-05-08,3.2820135110907676,9.77,6.4879864889092325,42.09396868026875,0.42678704460197503,-1.1695626904979288,-0.07870333382745497,1,-1.1657712167616665,-0.07491186009119272,1,-6.4879864889092325
2017-05-09,0.1420751290281973,9.96,9.817924870971803,96.3916487720467,3.264240926413832,-4.230715749684446,0.019260605541815655,0,-4.240899137075145,0.0090772181511169,0,-9.817924870971803
