,DA_dr,DA_idr,mean_AE,rmse,MSE,QL
0,0.5327210103329506,0.5166475315729047,1.1379608951941276,2.3518420625675045,5.238047325329979,3.1137674040734487
1,0.56601607347876,0.5545350172215844,1.1088430013783896,2.3518420625675045,5.379008868868409,3.093437042739494
2,0.5258323765786452,0.4971297359357061,1.248228243025037,2.3518420625675045,6.026412469121228,3.582222489257589
3,0.56601607347876,0.5533869115958668,1.1141755269414033,2.3518420625675045,5.531161087261773,3.122394110626976
0,0.5384615384615384,0.5143513203214696,1.1356429431123807,2.294800746159164,5.224188153999727,3.1136843675050856
1,0.5694603903559128,0.5510907003444316,1.1129892888524897,2.294800746159164,5.2944959072423,3.0858472530810643
2,0.5350172215843858,0.5063145809414467,1.1394498725512217,2.294800746159164,5.190679363419879,3.1276684152237713
3,0.56601607347876,0.5419058553386912,1.1166201941604115,2.294800746159164,5.266110464572656,3.087587801511312
0,0.5500575373993095,0.5500575373993095,1.8733124323239416,3.7293342335413104,11.935210127497712,7.944272871901295
1,0.5937859608745685,0.6006904487917146,1.8127227381038338,3.7293342335413104,12.905986427817899,7.831015134593164
2,0.5327963176064442,0.5385500575373993,2.250938956737063,3.7293342335413104,16.718328407012166,10.606183366353584
3,0.5914844649021864,0.5972382048331415,1.8486124402564226,3.7293342335413104,13.907933825463152,8.029110938160994
0,0.5489067894131185,0.5546605293440736,1.8563421647344178,30121894750.623615,11.748234875589977,7.934759131809822
1,0.5535097813578826,0.569620253164557,1.8268279181526494,30121894750.623615,11.825783447446168,7.80025617946421
2,0.3620689655172414,0.35344827586206895,208541.31008986363,30121894750.623615,135774713013.96446,775330.6152543321
3,0.4657375145180023,0.437862950058072,25476631846.713116,30121894750.623615,9.073285433676464e+20,1368130153125.6357
0,0.5594002306805075,0.558246828143022,2.359880058691005,10.42294426339929,20.118517420468294,12.14988890005276
1,0.5870818915801614,0.5743944636678201,2.516459598562203,10.42294426339929,24.378420183806387,13.550247125664905
2,0.558246828143022,0.5363321799307958,3.0824681088797736,10.42294426339929,30.04464380023968,19.3637213200937
3,0.5420991926182238,0.4994232987312572,7.461410974115553,10.42294426339929,108.63776711792814,124.72376186303715
0,0.5605536332179931,0.5686274509803921,2.3498066925176917,,19.62392667074421,12.161580539974342
1,0.6101499423298731,0.6113033448673587,2.229171839991791,,20.53035330188261,11.678487143974964
2,0.44487678339818415,0.42023346303501946,4295091.705640784,,50068354903141.41,155529850.7784608
3,,,,,,0.0
