,forecast-5d,vix,close_ae,close_mse,close_ql,forecast_5DR,actual_5DR,DA_5DR,forecast_I5DR,actual_I5DR,DA_I5DR,close_err
2017-01-13,12.575112684520857,11.23,1.3451126845208563,1.8093281340589047,0.006647603342472941,0.08416881369711635,-0.02896209449387965,0,0.07127649933172184,-0.04185440885927425,0,1.3451126845208563
2017-01-17,12.67268461032336,11.87,0.8026846103233609,0.6443025836499657,0.0021883159017992426,0.09797176718795572,0.03253711676091223,1,0.08930620169695974,0.023871551269916205,1,0.8026846103233609
2017-01-18,12.623219721496824,12.48,0.14321972149682338,0.020511888625627653,6.534910417665962e-05,0.11428133034806265,0.10287074022973733,1,0.08798708981537555,0.07657649969705009,1,0.14321972149682338
2017-01-19,12.490192658982195,12.78,0.2898073410178039,0.0839882949078097,0.0002610691196780479,0.07912448799719039,0.10206218786943523,1,0.08433735818572355,0.10727505805796825,1,-0.2898073410178039
2017-01-20,12.628394457057805,11.54,1.088394457057806,1.1846024941541562,0.004186398457027396,0.11735903815834596,0.02723049232960163,1,0.09795807690844922,0.0078295310797048,1,1.088394457057806
2017-01-23,12.457595152805373,11.77,0.6875951528053736,0.47278709416144515,0.0016427312374132086,0.04831628071696561,-0.008460287349391322,0,0.020894537599331377,-0.03588203046702553,0,0.6875951528053736
2017-01-24,12.792364794200026,11.07,1.7223647942000255,2.966540484299696,0.010978763186429985,0.02472112955399242,-0.11988861622073614,0,0.08159677794599458,-0.06301296782873392,0,1.7223647942000255
2017-01-25,13.13309979690768,10.81,2.3230997969076803,5.396792666392505,0.020238735062413582,0.02725429656694478,-0.1674098172982717,0,0.04302749424403889,-0.15163661962117758,0,2.3230997969076803
2017-01-26,13.32254551150508,10.63,2.692545511505079,7.2498013315261485,0.027519290656582207,0.1436384902415054,-0.08213906872609682,0,0.05734950004916429,-0.16842805891843785,0,2.692545511505079
2017-01-27,12.679690020533645,10.58,2.099690020533645,4.408698182328578,0.017422338089140954,0.07444758110792386,-0.10658849484203198,0,0.030402240001737316,-0.15063383594821855,0,2.099690020533645
2017-01-30,12.78986351428273,11.88,0.9098635142827298,0.8278516146229193,0.0027912075868747888,0.14441419752966533,0.07061756721395342,1,0.07885993227225867,0.005063301956546855,1,0.9098635142827298
2017-01-31,12.4028389022226,11.99,0.41283890222259956,0.17043595918836113,0.0005795140355777662,0.13745375848388744,0.10360133738830596,1,0.13930561086496115,0.10545318976937965,1,0.41283890222259956
2017-02-01,12.233225889126881,11.81,0.42322588912688097,0.17912015322723895,0.0006271778466888644,0.1404754910948287,0.10526643785541435,1,0.14235873082279363,0.10714967758337926,1,0.42322588912688097
2017-02-02,12.105804405718048,11.93,0.17580440571804878,0.030907189069876304,0.00010752463860641548,0.13471961410376826,0.12009080967967142,1,0.13566524065177524,0.12103643622767839,1,0.17580440571804878
2017-02-03,12.051631785381847,10.97,1.0816317853818465,1.1699273191483208,0.004563274503509129,0.014343754708004705,-0.07969203964735995,0,0.08225496032421507,-0.011780834031149453,0,1.0816317853818465
2017-02-06,12.731992098120461,11.37,1.3619920981204618,1.8550224753425777,0.006648642203826327,0.06004491974878739,-0.05309466127697832,0,0.03533196521026694,-0.07780761581549878,0,1.3619920981204618
2017-02-07,12.81275593670153,11.29,1.5227559367015306,2.318785642759756,0.008352668209216985,0.08149460203728388,-0.045029252047700405,0,0.08318951769727527,-0.043334336387708956,0,1.5227559367015306
2017-02-08,12.73467242157142,11.45,1.28467242157142,1.6503832307461763,0.0058598093534818485,0.06527214930300497,-0.04106650610957607,0,0.029054199008433233,-0.07728445640414784,0,1.28467242157142
2017-02-09,12.808490641849671,10.88,1.9284906418496703,3.7190761557017535,0.014068937125929937,0.15494400812591072,-0.008238032859342291,0,0.07862465295719,-0.084557388028063,0,1.9284906418496703
2017-02-10,12.296653950302566,10.85,1.4466539503025668,2.0928076519260217,0.008170052495729774,0.07834888104650309,-0.04681322777597609,0,0.07834888104650309,-0.04681322777597609,0,1.4466539503025668
2017-02-13,12.488100726872588,11.07,1.4181007268725878,2.011009671556562,0.007565544338170138,0.10085887091209571,-0.019678631441024986,0,0.09204047161457539,-0.028497030738545252,0,1.4181007268725878
2017-02-14,12.438299585793002,10.74,1.698299585793002,2.8842214831046826,0.011323153410799147,0.08279065872302312,-0.0640146409195299,0,0.10575986639943774,-0.041045433243115145,0,1.698299585793002
2017-02-15,12.519538772100727,11.97,0.5495387721007265,0.3019928620419743,0.0010226657202891953,0.14036428427649322,0.09547727814208513,1,0.09017453975263816,0.04528753361823007,1,0.5495387721007265
2017-02-16,12.212929959962864,11.76,0.452929959962864,0.20514554863196158,0.0007231715514857129,0.11833014331032118,0.0805388624840124,1,0.11833014331032118,0.0805388624840124,1,0.452929959962864
2017-02-17,12.183623479366496,11.49,0.6936234793664955,0.4811135311284832,0.0017519583296845553,0.09585396551944171,0.03723834514011879,1,0.06999429894698199,0.011378678567659034,1,0.6936234793664955
2017-02-21,12.289048725007559,11.57,0.7190487250075588,0.517031068934996,0.0018547088084497343,0.13473342914248068,0.07444045212486652,1,0.09547690514209,0.03518392812447589,1,0.7190487250075588
2017-02-22,12.104419097516905,11.74,0.3644190975169046,0.1328012786350352,0.0004720227888923567,0.01116708102898752,-0.019401705169931446,0,0.1103276045873692,0.07975881838845032,1,0.3644190975169046
2017-02-23,12.756632503793806,11.71,1.0466325037938056,1.0954395979976905,0.003771221809612202,0.08134739025470851,-0.0042607648608548095,0,0.059479403618127744,-0.02612875149743541,0,1.0466325037938056
2017-02-24,12.668224745077314,11.47,1.1982247450773134,1.4357425397155925,0.005104037488482094,0.09761977782328496,-0.0017421607193849257,0,0.06761324022808955,-0.03174869831458019,0,1.1982247450773134
2017-02-27,12.534666249486177,12.09,0.4446662494861773,0.19772807343210325,0.0006602321018496227,0.0800825645604723,0.04396312342111599,1,0.03943344582939334,0.0033140046900372914,1,0.4446662494861773
2017-02-28,12.579322248150024,12.92,0.3406777518499755,0.11606133060555349,0.00035387683206322684,0.06905256007523049,0.09577468395450538,1,0.09144798358376047,0.1181701074630353,1,-0.3406777518499755
2017-03-01,12.675277134279371,12.54,0.13527713427937194,0.018299903058839224,5.7771590642685666e-05,0.07921023626601875,0.0684803575951486,1,0.08348923295329864,0.0727593542824283,1,0.13527713427937194
2017-03-02,12.665053464498952,11.81,0.8550534644989511,0.7311164271516591,0.00250092672462654,0.09911157374039725,0.029211699067991682,1,0.06989987467240577,0.0,0,0.8550534644989511
2017-03-03,12.540255111098146,10.96,1.580255111098145,2.497206216151811,0.009492263235951537,0.03656521415887234,-0.0981263831068317,0,0.062540700562133,-0.07215089670357104,0,1.580255111098145
2017-03-06,12.873130662536513,11.24,1.6331306625365123,2.6671157609169476,0.0096329220060416,-0.0036342536052271722,-0.13929765388891072,1,0.05452630125604844,-0.08113709902763509,0,1.6331306625365123
2017-03-07,13.337312883963932,11.45,1.8873128839639328,3.5619499219762574,0.01225496234950052,0.061642052006142346,-0.09093380520452601,0,0.08015364701455469,-0.07242221019611361,0,1.8873128839639328
2017-03-08,13.165321740719953,11.86,1.305321740719954,1.7038648467961708,0.005646016857741909,0.10863960153797557,0.004224763360308474,1,0.05747332622462683,-0.04694151195304042,0,1.305321740719954
2017-03-09,12.784612266042696,12.3,0.4846122660426957,0.23484904839903648,0.0007563525732523502,0.1539899995082334,0.11534698085850223,1,0.06667453250561724,0.028031513855886224,1,0.4846122660426957
2017-03-10,12.31357452632587,11.66,0.653574526325869,0.427159661462084,0.0015146108599042307,0.09122342939842963,0.03668533645680124,1,0.060559616512314285,0.006021523570686113,1,0.653574526325869
2017-03-13,12.43060672573497,11.35,1.0806067257349703,1.1677108957036533,0.004263669227295264,0.08217198573378591,-0.008771986072836994,0,0.09801738768234947,0.007073415875726699,1,1.0806067257349703
2017-03-14,12.526662368507157,12.3,0.2266623685071565,0.051375829297274,0.00016773501997113804,0.05468796862680159,0.03642786880879243,1,0.08638227033571651,0.06812217051770751,1,0.2266623685071565
2017-03-15,12.747405680247637,11.63,1.1174056802476358,1.2485954542496815,0.004339785863554102,0.03572851246299261,-0.05601129584779873,0,0.08147453425119634,-0.010265274059594792,0,1.1174056802476358
2017-03-16,13.001622886066794,11.21,1.7916228860667935,3.2099125658783065,0.01155567946827718,0.1089100061374054,-0.039357943838277724,0,0.08267066748986984,-0.06559728248581323,0,1.7916228860667935
2017-03-17,12.682241054586903,11.28,1.402241054586904,1.9662799751689926,0.007140723585988384,0.11098492878584817,-0.006186497857498847,0,0.04205079617523891,-0.07512063046810817,0,1.402241054586904
2017-03-20,12.515458243640193,11.34,1.1754582436401932,1.381702082541688,0.005027688307916556,0.017365277387584987,-0.08126296407876588,0,0.09422876230686619,-0.004399479159484779,0,1.1754582436401932
2017-03-21,13.019734603595492,12.47,0.5497346035954909,0.3022081343902915,0.0009440781263596598,0.11287828629367254,0.06973779316137199,1,0.07160927218307733,0.028468779050776785,1,0.5497346035954909
2017-03-22,12.674768024774844,12.81,0.13523197522515673,0.018287687123297404,5.611778873082507e-05,0.12280701043278666,0.1334198788245743,1,0.11569586935528474,0.1263087377470724,1,-0.13523197522515673
2017-03-23,12.441731745374181,13.12,0.6782682546258183,0.4600478252331539,0.001384222560896875,0.09802503938011667,0.15110653744603006,1,0.08919885675184439,0.14228035481775803,1,-0.6782682546258183
2017-03-24,12.465221313621024,12.96,0.49477868637897693,0.244805948494906,0.0007478515269359054,0.09460617332143115,0.13353139262452277,1,0.06249929401141118,0.10142451331450272,1,-0.49477868637897693
2017-03-27,12.487912183785573,12.5,0.012087816214426894,0.00014611530083376173,4.6787061536157637e-07,0.001435391448540657,0.002402884616310316,1,0.11332165323435796,0.11428914640212759,1,-0.012087816214426894
2017-03-28,13.09326557095682,11.53,1.5632655709568208,2.443799245338955,0.008436758085118568,0.021871903561865334,-0.10527378162767534,0,0.011002231324961644,-0.11614345386457905,0,1.5632655709568208
2017-03-29,13.308570837011427,11.42,1.888570837011427,3.5666998064100417,0.012331931439129251,0.01427046799533363,-0.13877157928807876,0,0.050751036337747475,-0.10229101094566508,0,1.888570837011427
2017-03-30,13.510011669695334,11.54,1.9700116696953351,3.8809459787358023,0.013099828488688292,0.04156332482964385,-0.11604842984417531,0,0.049309296944299245,-0.10830245772951988,0,1.9700116696953351
2017-03-31,13.454007835669383,12.37,1.084007835669384,1.1750729877926225,0.0036291440466182934,0.07354839769943246,-0.010454457903858985,0,-0.09399787351236763,-0.17800072911565926,1,1.084007835669384
