,forecast-5d,vix,close_ae,close_mse,close_ql,forecast_5DR,actual_5DR,DA_5DR,forecast_I5DR,actual_I5DR,DA_I5DR,close_err
2017-01-13,11.734385495311836,11.23,0.5043854953118352,0.2544047278809653,0.0009794195018304475,0.014972599567231624,-0.02896209449387965,0,0.002080285201836877,-0.04185440885927425,0,0.5043854953118352
2017-01-17,11.869932377302288,11.87,6.762269771165563e-05,4.572829245801956e-09,1.6227685861736063e-11,0.032531419803007076,0.03253711676091223,1,0.023865854312011246,0.023871551269916205,1,-6.762269771165563e-05
2017-01-18,11.811513906828873,12.48,0.6684860931711274,0.44687365676319724,0.0014879615939735746,0.04781818783679532,0.10287074022973733,1,0.021523947304108084,0.07657649969705009,1,-0.6684860931711274
2017-01-19,11.646925880062065,12.78,1.133074119937934,1.2838569612731234,0.004179229927313344,0.009223011155116237,0.10206218786943523,1,0.014435881343649272,0.10727505805796825,1,-1.133074119937934
2017-01-20,11.81875435049793,11.54,0.2787543504979304,0.07770398792152303,0.00028712919856688224,0.05109885277556944,0.02723049232960163,1,0.03169789152567264,0.0078295310797048,1,0.2787543504979304
2017-01-23,11.603947922999273,11.77,0.16605207700072633,0.027573292276255146,0.00010046496217608336,-0.02266883022156963,-0.008460287349391322,1,-0.05009057333920383,-0.03588203046702553,1,-0.16605207700072633
2017-01-24,12.017909689856197,11.07,0.9479096898561963,0.8985327801232702,0.003469433681159817,-0.037729351631236745,-0.11988861622073614,1,0.01914629676076534,-0.06301296782873392,0,0.9479096898561963
2017-01-25,12.429879527665216,10.81,1.6198795276652156,2.624009684148882,0.01021851330395962,-0.0277782355360691,-0.1674098172982717,1,-0.012005037858974853,-0.15163661962117758,1,1.6198795276652156
2017-01-26,12.649988345534084,10.63,2.019988345534083,4.0803529160935215,0.016051024120606883,0.09183703279149799,-0.08213906872609682,0,0.005548042599156804,-0.16842805891843785,0,2.019988345534083
2017-01-27,11.84531526875974,10.58,1.265315268759739,1.601022729356531,0.006627988935347773,0.006378532173446199,-0.10658849484203198,0,-0.037666808932740214,-0.15063383594821855,1,1.265315268759739
2017-01-30,11.991100564249969,11.88,0.11110056424996806,0.01234333537666128,4.345827586371698e-05,0.07992600828573009,0.07061756721395342,1,0.014371743028323529,0.005063301956546855,1,0.11110056424996806
2017-01-31,11.519793178167287,11.99,0.4702068218327131,0.22109445529802083,0.0007896849122828176,0.06359507017137647,0.10360133738830596,1,0.06544692255245013,0.10545318976937965,1,-0.4702068218327131
2017-02-01,11.32438725056475,11.81,0.48561274943525135,0.2358197424140642,0.0008692898015412176,0.063278371641066,0.10526643785541435,1,0.06516161136903098,0.10714967758337926,1,-0.48561274943525135
2017-02-02,11.17807745805344,11.93,0.7519225419465592,0.565387509087375,0.002073871347442857,0.054989063902508656,0.12009080967967142,1,0.05593469045051563,0.12103643622767839,1,-0.7519225419465592
2017-02-03,11.116808779954566,10.97,0.14680877995456498,0.02155281787174788,8.875800664864819e-05,-0.06639804651867906,-0.07969203964735995,1,0.001513159097531385,-0.011780834031149453,0,0.14680877995456498
2017-02-06,11.957969369026154,11.37,0.5879693690261547,0.3457079789130145,0.0012927044143671296,-0.0026750201305578516,-0.05309466127697832,1,-0.02738797466907826,-0.07780761581549878,1,0.5879693690261547
2017-02-07,12.038526713836458,11.29,0.7485267138364584,0.5602922413268073,0.0021052863820096857,0.019165436223651914,-0.045029252047700405,0,0.020860351883643536,-0.043334336387708956,0,0.7485267138364584
2017-02-08,11.926695013901506,11.45,0.4766950139015069,0.22723813627855788,0.0008433161019933966,-0.00027706990576114394,-0.04106650610957607,1,-0.036495020200332795,-0.07728445640414784,1,0.4766950139015069
2017-02-09,12.01024440415891,10.88,1.1302444041589084,1.2774524131325258,0.0050490132232943186,0.09059571165255714,-0.008238032859342291,0,0.014276356483836279,-0.084557388028063,0,1.1302444041589084
2017-02-10,11.374624371259408,10.85,0.5246243712594083,0.2752307309193295,0.001132614615338312,0.00040663422245584195,-0.04681322777597609,0,0.00040663422245584195,-0.04681322777597609,0,0.5246243712594083
2017-02-13,11.623560279689192,11.07,0.5535602796891919,0.3064289832495763,0.0012100951449538488,0.0291167187337313,-0.019678631441024986,0,0.02029831943621099,-0.028497030738545252,0,0.5535602796891919
